type,ev
401(k),144400
Paid Time Off,169606
401(k),51374
401(k),118808
401(k),136271
Stock Options,67210
401(k),71105
Health Insurance,69891
401(k),176141
Stock Options,50240
Health Insurance,98795
401(k),133439
401(k),69868
401(k),122027
Paid Time Off,178680
Health Insurance,91302
401(k),155692
401(k),107553
401(k),101300
401(k),176954
401(k),113699
Stock Options,104068
Health Insurance,181580
Remote Work,171444
Health Insurance,77262
Health Insurance,143614
Remote Work,119783
401(k),172999
Stock Options,128645
401(k),194176
401(k),117041
401(k),92741
401(k),178363
Remote Work,133781
Stock Options,170969
401(k),138253
Paid Time Off,57058
Health Insurance,98670
401(k),117734
401(k),161694
401(k),126221
401(k),56855
401(k),110791
Remote Work,129288
Paid Time Off,57993
401(k),199750
401(k),112434
401(k),117933
Stock Options,175177
401(k),72268
401(k),185630
401(k),68797
401(k),117473
Stock Options,189410
Stock Options,73574
Health Insurance,92476
Health Insurance,85969
Remote Work,193903
401(k),93997
Stock Options,133086
Stock Options,90037
401(k),160299
401(k),137202
401(k),170061
Remote Work,96894
Stock Options,155876
Stock Options,169986
401(k),153375
401(k),96690
401(k),141873
Remote Work,142030
Health Insurance,188513
401(k),90453
Stock Options,88402
Stock Options,114461
401(k),190516
Remote Work,131661
401(k),158209
401(k),98642
Paid Time Off,197119
Paid Time Off,152345
Paid Time Off,121873
401(k),133726
Remote Work,68032
401(k),107901
Stock Options,188778
Remote Work,83587
Stock Options,70642
401(k),182986
Stock Options,94687
Paid Time Off,131037
Health Insurance,123150
Stock Options,173496
Health Insurance,167875
Stock Options,119888
Paid Time Off,164091
Remote Work,177647
Remote Work,134872
401(k),171271
Health Insurance,59629
Health Insurance,94869
Paid Time Off,75273
401(k),99350
401(k),120985
401(k),78133
Paid Time Off,195127
401(k),53491
401(k),98791
401(k),169145
Health Insurance,91982
401(k),136753
Stock Options,73066
Remote Work,154758
401(k),148842
Remote Work,128260
Health Insurance,88053
401(k),106059
401(k),90216
401(k),188260
401(k),140224
401(k),125077
Health Insurance,105783
401(k),126654
401(k),73534
401(k),169460
401(k),168423
Remote Work,173092
Paid Time Off,69146
Remote Work,180170
Remote Work,118083
Health Insurance,91888
Remote Work,187013
401(k),195442
Paid Time Off,152935
401(k),188135
401(k),80167
Remote Work,170772
401(k),107242
Paid Time Off,170579
401(k),70999
401(k),131208
Remote Work,76777
401(k),153641
401(k),116214
Remote Work,181664
401(k),52079
401(k),78775
Remote Work,58411
401(k),184933
401(k),179749
Health Insurance,103425
Paid Time Off,97392
401(k),97290
Paid Time Off,183660
Remote Work,135248
Stock Options,167289
Remote Work,64495
Paid Time Off,145516
Paid Time Off,66563
Health Insurance,105561
401(k),57091
Health Insurance,127653
Remote Work,168709
Remote Work,164836
Paid Time Off,164233
Health Insurance,67411
Paid Time Off,100238
401(k),160817
401(k),180293
Health Insurance,67623
Paid Time Off,124223
401(k),100535
Health Insurance,199867
Paid Time Off,88285
401(k),78946
Paid Time Off,177209
401(k),151430
Stock Options,71375
401(k),115701
401(k),137116
Paid Time Off,128452
Remote Work,175259
Remote Work,84357
Stock Options,123848
Remote Work,135713
Remote Work,107912
401(k),191469
Remote Work,151817
401(k),106941
401(k),50314
Stock Options,135523
Paid Time Off,190652
401(k),128591
401(k),174334
401(k),100754
Stock Options,110641
401(k),118994
Stock Options,142921
Paid Time Off,125942
Paid Time Off,118571
401(k),116893
Stock Options,139173
401(k),104981
Health Insurance,191772
Remote Work,110012
Health Insurance,138986
Health Insurance,152441
Paid Time Off,66184
Stock Options,128300
401(k),60677
Remote Work,128534
401(k),111609
401(k),90816
Stock Options,99393
401(k),130436
Paid Time Off,196062
401(k),64157
Stock Options,92836
Remote Work,51656
Remote Work,82924
401(k),180129
401(k),123429
401(k),192726
401(k),142007
401(k),110590
Stock Options,168340
Remote Work,181007
Remote Work,162806
401(k),51624
401(k),67015
Health Insurance,149666
Health Insurance,87943
Paid Time Off,156153
Health Insurance,163882
401(k),118479
Paid Time Off,150858
Health Insurance,61082
401(k),71040
Paid Time Off,77769
401(k),193080
Health Insurance,151565
401(k),115059
401(k),154632
Paid Time Off,93822
401(k),181697
Health Insurance,146473
Health Insurance,151603
Health Insurance,166430
Stock Options,68354
Health Insurance,56363
Remote Work,51114
Paid Time Off,123084
Remote Work,176126
Remote Work,61377
Paid Time Off,82181
Stock Options,105198
Stock Options,106529
401(k),174905
Health Insurance,167581
Stock Options,58433
401(k),57030
Stock Options,104505
401(k),159317
Remote Work,98912
Paid Time Off,79630
Paid Time Off,132478
Remote Work,176646
Health Insurance,50504
Stock Options,198087
Stock Options,177200
401(k),102215
Health Insurance,158510
401(k),107446
Paid Time Off,152690
Health Insurance,134205
Paid Time Off,127094
Stock Options,127273
Health Insurance,91254
401(k),79826
Health Insurance,75004
401(k),54259
401(k),121578
401(k),165510
401(k),143419
401(k),152195
401(k),194532
Health Insurance,126277
Health Insurance,129134
Stock Options,115200
Stock Options,199995
Health Insurance,51255
Health Insurance,89429
Stock Options,135218
Health Insurance,145216
Stock Options,181280
401(k),175011
401(k),88101
Health Insurance,55925
401(k),120303
Paid Time Off,111047
Paid Time Off,64714
Health Insurance,100680
Stock Options,196846
Health Insurance,51237
401(k),110696
Paid Time Off,128443
Paid Time Off,54861
401(k),122800
401(k),194758
401(k),96963
401(k),175470
401(k),63616
Health Insurance,178416
401(k),88441
401(k),198318
Remote Work,63908
401(k),130824
Stock Options,159647
Paid Time Off,54740
Health Insurance,181854
401(k),69672
401(k),151984
401(k),50638
Stock Options,180169
Remote Work,157618
Paid Time Off,190427
Stock Options,178005
401(k),120360
401(k),143532
401(k),134102
401(k),134832
Stock Options,159769
401(k),102315
Remote Work,169979
Health Insurance,57977
401(k),87427
Paid Time Off,155895
401(k),111877
Stock Options,123499
401(k),176280
Stock Options,71469
Health Insurance,158542
Stock Options,64996
Remote Work,166552
Health Insurance,60148
Health Insurance,165227
Health Insurance,103951
Paid Time Off,195935
401(k),110726
Health Insurance,168665
Stock Options,166779
Paid Time Off,103154
Remote Work,88596
Paid Time Off,103521
Paid Time Off,186457
401(k),87645
Remote Work,107861
401(k),180166
Health Insurance,178934
Stock Options,62475
Paid Time Off,54895
401(k),170132
Stock Options,103102
401(k),57925
401(k),183625
Remote Work,64695
401(k),115835
Remote Work,113514
Remote Work,59886
Paid Time Off,153300
Remote Work,185997
401(k),155813
401(k),175839
401(k),143160
401(k),191471
401(k),126984
Stock Options,149171
Stock Options,126548
Paid Time Off,112215
Remote Work,59040
401(k),174073
401(k),61941
401(k),120634
401(k),126425
401(k),113091
401(k),148128
401(k),184759
401(k),91157
Paid Time Off,188820
401(k),194103
401(k),172332
401(k),144849
Remote Work,55727
401(k),191170
Paid Time Off,151005
401(k),92537
Stock Options,194104
401(k),52903
401(k),192513
401(k),85846
Paid Time Off,181351
Stock Options,65601
Paid Time Off,75015
401(k),79792
Remote Work,126112
Health Insurance,179089
401(k),91969
Remote Work,152139
401(k),183393
Remote Work,63737
Stock Options,87964
Remote Work,119914
Health Insurance,196221
Paid Time Off,98771
401(k),114100
Remote Work,191809
Paid Time Off,156223
401(k),72276
Stock Options,94261
Paid Time Off,78271
401(k),68812
Health Insurance,91413
401(k),139156
401(k),117761
401(k),80452
401(k),185351
Paid Time Off,60115
401(k),157209
Health Insurance,93562
Remote Work,114696
Stock Options,192318
401(k),150244
401(k),65155
401(k),92057
401(k),119254
Stock Options,98063
401(k),141887
Paid Time Off,104962
401(k),124601
Health Insurance,146992
Health Insurance,112278
Health Insurance,84933
Remote Work,91308
Stock Options,117468
401(k),69096
401(k),180578
Health Insurance,93627
Stock Options,166043
401(k),145643
Remote Work,167973
Paid Time Off,169191
Paid Time Off,69962
401(k),196266
Paid Time Off,183940
Stock Options,87026
401(k),88817
401(k),52010
401(k),113226
Health Insurance,103338
401(k),142657
Remote Work,125643
Remote Work,190011
401(k),165088
401(k),85214
Health Insurance,99219
401(k),197275
Health Insurance,199359
401(k),69596
401(k),193203
Paid Time Off,172450
Paid Time Off,102543
401(k),198746
Remote Work,164680
401(k),103824
Health Insurance,71904
Paid Time Off,95296
Health Insurance,121752
401(k),142446
Health Insurance,196555
Stock Options,125011
Paid Time Off,114780
Remote Work,66367
Health Insurance,150769
401(k),108686
401(k),62503
Paid Time Off,133712
401(k),103492
401(k),135010
Remote Work,184526
Remote Work,62322
Health Insurance,56415
Paid Time Off,148057
401(k),163083
Health Insurance,181871
Paid Time Off,110105
401(k),144687
401(k),62396
Health Insurance,185509
401(k),159801
Paid Time Off,122915
Stock Options,160840
Stock Options,115209
401(k),163120
401(k),95387
Paid Time Off,96135
Health Insurance,185579
401(k),140724
401(k),74917
401(k),135580
Stock Options,192795
Stock Options,76871
Stock Options,187009
401(k),168211
Stock Options,54392
Paid Time Off,57549
Remote Work,186667
401(k),133436
Health Insurance,127619
401(k),82717
Stock Options,152951
401(k),185507
Health Insurance,161120
401(k),142284
401(k),78393
401(k),72392
401(k),154370
401(k),119301
401(k),103482
401(k),79536
401(k),59145
Stock Options,151584
Paid Time Off,192892
Stock Options,115155
Paid Time Off,190531
Stock Options,176495
401(k),91416
401(k),90675
Paid Time Off,191548
Remote Work,104600
401(k),188431
Stock Options,124381
401(k),98616
Remote Work,110307
Stock Options,145622
401(k),90245
Stock Options,125451
Health Insurance,126335
Remote Work,198353
Remote Work,78622
Remote Work,71852
Health Insurance,70220
401(k),73872
401(k),94335
401(k),87527
401(k),151630
Paid Time Off,56442
Health Insurance,174472
Paid Time Off,199979
401(k),186998
401(k),83172
Remote Work,70385
Stock Options,114299
Paid Time Off,75670
401(k),104165
401(k),86051
Health Insurance,160869
401(k),55304
Health Insurance,70508
401(k),191177
Remote Work,182712
401(k),68309
Paid Time Off,128637
401(k),121240
Stock Options,121912
401(k),178884
Paid Time Off,69764
Paid Time Off,75774
401(k),57630
Remote Work,158579
401(k),51575
Health Insurance,86115
401(k),79693
401(k),148232
401(k),127943
Stock Options,121175
401(k),193559
Stock Options,109107
Remote Work,110927
Paid Time Off,183506
Stock Options,139042
401(k),140920
Remote Work,168947
Remote Work,55786
401(k),181974
Health Insurance,59452
401(k),190619
401(k),172526
401(k),59928
Stock Options,108134
Paid Time Off,177057
Health Insurance,93053
Paid Time Off,162576
Stock Options,96578
Paid Time Off,178010
Stock Options,189226
Remote Work,169324
Health Insurance,96909
401(k),69077
Remote Work,151725
Health Insurance,113082
Health Insurance,135966
401(k),151507
Remote Work,95960
Remote Work,104555
Health Insurance,52017
401(k),131730
Health Insurance,63643
Health Insurance,126753
401(k),139079
401(k),157916
Paid Time Off,111341
Paid Time Off,156724
401(k),170047
Paid Time Off,162003
Remote Work,121102
401(k),140853
Stock Options,89959
Stock Options,94710
Health Insurance,111936
401(k),82832
Health Insurance,74216
401(k),135554
401(k),150248
Stock Options,109388
Paid Time Off,145338
401(k),191944
Remote Work,145635
401(k),106482
Health Insurance,159843
Stock Options,144746
401(k),190393
401(k),162096
401(k),171670
401(k),106766
Stock Options,95505
401(k),158588
401(k),138255
401(k),174674
Paid Time Off,101130
Paid Time Off,145450
401(k),86539
401(k),123592
Paid Time Off,174741
401(k),165569
Stock Options,160965
Remote Work,90055
401(k),97150
Remote Work,175615
Health Insurance,91429
401(k),141596
401(k),163104
Health Insurance,126642
Health Insurance,181997
Stock Options,111199
401(k),60769
401(k),178295
401(k),50349
Remote Work,74874
Paid Time Off,109755
401(k),167154
401(k),116134
Health Insurance,167163
Remote Work,174881
Paid Time Off,147033
Health Insurance,120425
Remote Work,129347
Paid Time Off,91718
401(k),159060
401(k),163877
Paid Time Off,138214
Paid Time Off,112765
401(k),56547
401(k),166037
Remote Work,130548
Remote Work,189576
Stock Options,56679
401(k),124337
401(k),86218
401(k),197320
401(k),90457
Remote Work,74432
Paid Time Off,66577
401(k),124127
401(k),145605
Health Insurance,171549
401(k),124779
401(k),108617
Remote Work,79094
Health Insurance,55231
Remote Work,129391
Health Insurance,109384
401(k),94026
Paid Time Off,148347
401(k),184855
401(k),163453
401(k),65812
Health Insurance,77452
401(k),163036
Stock Options,130644
Stock Options,165840
401(k),162376
401(k),131452
401(k),117773
Health Insurance,143675
Remote Work,125763
Health Insurance,153445
401(k),139020
401(k),118774
401(k),167524
Stock Options,123814
Remote Work,54578
Paid Time Off,184186
401(k),117789
401(k),180991
401(k),109371
Stock Options,60645
401(k),125826
401(k),59583
Stock Options,77060
401(k),112692
Remote Work,142766
Stock Options,186479
401(k),85849
Paid Time Off,91927
401(k),162689
Stock Options,174566
Stock Options,63268
Paid Time Off,116972
Remote Work,170926
Stock Options,100242
Health Insurance,118845
Health Insurance,170480
401(k),153310
Remote Work,141633
Stock Options,137248
401(k),158150
Stock Options,81034
Paid Time Off,154140
401(k),177751
Health Insurance,93967
401(k),106882
401(k),115539
Stock Options,68140
401(k),110586
Health Insurance,71223
401(k),56054
401(k),104951
Paid Time Off,71495
401(k),114164
Remote Work,107995
401(k),60704
401(k),55011
401(k),56222
401(k),59609
401(k),62986
Health Insurance,88411
Stock Options,72639
Health Insurance,177195
401(k),167751
Health Insurance,172880
Health Insurance,114856
Stock Options,136615
Health Insurance,109857
Stock Options,74805
401(k),119068
Stock Options,82698
401(k),158917
Remote Work,125889
Paid Time Off,121116
Stock Options,172602
401(k),111701
Stock Options,89813
401(k),88866
Remote Work,114237
401(k),84128
Remote Work,189981
Health Insurance,77973
401(k),180172
Health Insurance,176781
401(k),145651
401(k),76545
Paid Time Off,93643
Health Insurance,68659
401(k),78896
Paid Time Off,148033
Paid Time Off,96643
Paid Time Off,163429
401(k),88916
Paid Time Off,83287
Stock Options,95371
Health Insurance,83159
Stock Options,86604
401(k),73333
401(k),185844
Health Insurance,145222
Remote Work,62211
401(k),199180
Health Insurance,135117
Paid Time Off,63231
401(k),141683
Health Insurance,90030
Stock Options,56431
Paid Time Off,163722
Paid Time Off,171421
401(k),148870
Paid Time Off,118090
Remote Work,156623
Health Insurance,141693
401(k),116265
401(k),77895
401(k),186187
Remote Work,195814
Remote Work,190741
Paid Time Off,106104
401(k),121730
Health Insurance,152478
Stock Options,129395
401(k),121265
Stock Options,103977
401(k),129000
Health Insurance,183849
Stock Options,67465
Health Insurance,177066
401(k),148493
Health Insurance,124634
Health Insurance,81296
Paid Time Off,111313
401(k),162441
401(k),52299
Health Insurance,62828
401(k),191725
401(k),68892
Stock Options,199732
401(k),85602
Stock Options,152401
401(k),188850
Stock Options,173262
Health Insurance,113556
401(k),85707
Health Insurance,72964
Paid Time Off,164052
401(k),125470
Remote Work,109168
401(k),194557
Health Insurance,65298
401(k),129111
Remote Work,109336
401(k),99347
401(k),68969
401(k),192488
401(k),100833
401(k),101714
401(k),74359
401(k),75907
Remote Work,175810
Remote Work,137013
401(k),67793
Health Insurance,59731
Remote Work,157085
Health Insurance,126897
Stock Options,189815
Remote Work,104365
401(k),108281
Health Insurance,111163
Paid Time Off,79458
401(k),185822
401(k),153348
Stock Options,174934
401(k),99586
401(k),61970
401(k),59434
401(k),196638
401(k),110229
Health Insurance,87002
Health Insurance,84689
Paid Time Off,99538
Health Insurance,50192
Paid Time Off,74320
401(k),79427
401(k),146449
401(k),94364
401(k),125992
401(k),184166
Remote Work,124419
Health Insurance,132315
Health Insurance,183714
Stock Options,95306
401(k),88512
Paid Time Off,69374
401(k),164344
401(k),94880
Health Insurance,171690
401(k),61676
Stock Options,173760
Health Insurance,130816
401(k),139617
401(k),137583
401(k),168281
401(k),143903
401(k),196982
401(k),199853
Remote Work,88234
401(k),195467
401(k),83516
Paid Time Off,109083
401(k),193630
Paid Time Off,144168
Health Insurance,188934
Remote Work,152153
Health Insurance,169500
401(k),156994
401(k),112683
401(k),90454
401(k),79620
401(k),111796
401(k),182533
401(k),78709
401(k),137317
401(k),109441
Stock Options,179006
Health Insurance,74100
Remote Work,188596
Remote Work,55931
Paid Time Off,143052
401(k),62668
Paid Time Off,97482
Remote Work,158837
401(k),71686
401(k),60943
Health Insurance,134237
Stock Options,90305
Health Insurance,154633
Health Insurance,121183
401(k),148568
Paid Time Off,88139
Stock Options,83999
Health Insurance,52256
Paid Time Off,97381
401(k),172328
401(k),138059
401(k),100708
401(k),167913
401(k),65773
401(k),83054
Paid Time Off,53549
Health Insurance,93423
Health Insurance,163091
Health Insurance,129597
Stock Options,157041
Paid Time Off,126343
401(k),104935
401(k),129934
Remote Work,141239
Remote Work,196073
401(k),195253
Stock Options,158131
Paid Time Off,151169
Health Insurance,197330
401(k),57600
Paid Time Off,175840
Stock Options,194759
401(k),190106
401(k),67691
Remote Work,177509
Remote Work,174905
401(k),113235
Stock Options,112954
401(k),52331
401(k),87789
401(k),132100
Remote Work,174421
Health Insurance,184471
401(k),107155
Paid Time Off,181450
Health Insurance,178336
401(k),135541
Stock Options,130086
401(k),195008
Health Insurance,76679
401(k),157343
Stock Options,53727
Paid Time Off,155917
Remote Work,196573
401(k),156035
Stock Options,87504
401(k),198616
Paid Time Off,112897
401(k),122671
Health Insurance,179264
Remote Work,62735
Stock Options,112788
Health Insurance,119911
Paid Time Off,198719
401(k),193972
Paid Time Off,193916
Stock Options,150232
Paid Time Off,91272
401(k),121118
Stock Options,87345
401(k),125620
401(k),185719
401(k),147144
Stock Options,148602
Health Insurance,76510
401(k),93275
401(k),151711
401(k),89198
Stock Options,123618
Health Insurance,180196
Remote Work,56128
Stock Options,183591
401(k),155011
Paid Time Off,191961
401(k),116344
Remote Work,105797
Health Insurance,102097
Remote Work,169066
Stock Options,64143
Paid Time Off,92223
Remote Work,93878
401(k),196438
Remote Work,63437
Stock Options,62378
401(k),73587
401(k),192388
401(k),103621
401(k),79650
401(k),80507
Health Insurance,197031
401(k),142808
Health Insurance,80615
Stock Options,91608
401(k),78277
Stock Options,121060
401(k),74658
401(k),97119
401(k),142573
401(k),196146
401(k),150249
401(k),94846
Paid Time Off,57251
401(k),136144
401(k),194712
401(k),195339
401(k),165477
Stock Options,188936
401(k),140785
401(k),66624
Paid Time Off,145116
401(k),196237
Paid Time Off,109923
401(k),63083
Paid Time Off,153554
401(k),122936
Remote Work,175037
Stock Options,116279
401(k),197818
Remote Work,181052
Paid Time Off,182646
Remote Work,108224
Paid Time Off,167962
Health Insurance,185761
Health Insurance,180003
Stock Options,125346
Remote Work,107359
Paid Time Off,65965
Health Insurance,194779
Remote Work,147546
Remote Work,57505
Paid Time Off,175627
Paid Time Off,166446
Health Insurance,137194
Remote Work,63904
401(k),53734
Stock Options,54429
Paid Time Off,164487
401(k),64325
401(k),173718
Remote Work,132074
Stock Options,160394
401(k),110234
401(k),116188
Remote Work,116561
Remote Work,63228
401(k),51439
Health Insurance,65661
Health Insurance,68355
401(k),180389
Stock Options,153828
401(k),104860
Health Insurance,77798
401(k),144576
401(k),135883
Paid Time Off,122052
401(k),176595
Paid Time Off,72844
Health Insurance,171470
Health Insurance,111504
Remote Work,122573
Health Insurance,170087
Remote Work,194576
Health Insurance,155066
Health Insurance,139981
401(k),75514
Remote Work,57517
Remote Work,198063
Paid Time Off,105732
401(k),161297
401(k),181099
Remote Work,193551
Remote Work,168119
401(k),68140
Health Insurance,135405
Health Insurance,148854
401(k),195923
401(k),52694
Remote Work,66297
Remote Work,95852
Health Insurance,168389
Stock Options,163068
401(k),166266
Health Insurance,195393
Stock Options,107899
401(k),52942
Remote Work,129357
401(k),149200
401(k),79856
Remote Work,86781
Stock Options,173967
401(k),66212
Remote Work,152384
401(k),164507
401(k),68959
401(k),103020
Remote Work,100566
401(k),136751
401(k),182057
Remote Work,99143
401(k),73360
Paid Time Off,76843
Paid Time Off,93038
Remote Work,137265
Paid Time Off,62151
401(k),76816
Stock Options,163408
Remote Work,140172
Health Insurance,149182
401(k),118814
401(k),124025
401(k),134432
Stock Options,136898
Stock Options,76502
Health Insurance,115312
401(k),53205
Health Insurance,102283
401(k),108879
Remote Work,74671
Health Insurance,183220
Stock Options,157921
Health Insurance,110705
Health Insurance,153072
401(k),137141
Paid Time Off,76701
Health Insurance,175196
401(k),139396
401(k),121650
Stock Options,189245
401(k),158772
401(k),131146
401(k),168001
401(k),167851
401(k),136054
401(k),71395
Stock Options,124107
Paid Time Off,102187
401(k),140475
Remote Work,177419
Remote Work,102898
401(k),121530
401(k),182810
401(k),139297
401(k),125476
Health Insurance,169233
401(k),74513
401(k),187424
401(k),161495
401(k),165426
Paid Time Off,90559
401(k),145287
Stock Options,114812
401(k),136548
401(k),154178
Health Insurance,56645
Remote Work,168788
401(k),89180
Health Insurance,95948
Remote Work,66883
401(k),187677
401(k),73759
Remote Work,157357
Paid Time Off,136521
401(k),77624
Stock Options,130578
Health Insurance,164542
Stock Options,107944
Stock Options,137673
401(k),62599
Stock Options,169166
Paid Time Off,164996
Health Insurance,92074
Stock Options,100219
Stock Options,176365
Remote Work,164937
Stock Options,108460
401(k),139446
Stock Options,88705
Stock Options,126023
401(k),161491
Stock Options,99435
401(k),193468
401(k),112880
Paid Time Off,71168
Remote Work,165950
401(k),153473
Paid Time Off,88177
401(k),70462
Remote Work,110490
Paid Time Off,88771
401(k),185739
401(k),115652
401(k),80885
Health Insurance,104083
Remote Work,155476
Health Insurance,186947
401(k),73925
401(k),131947
401(k),119557
401(k),134387
Stock Options,199967
Paid Time Off,69536
401(k),62813
401(k),195283
Health Insurance,139083
401(k),116570
401(k),164579
Remote Work,193620
Stock Options,133616
Health Insurance,90055
Paid Time Off,81878
401(k),184227
401(k),156548
Paid Time Off,62858
401(k),119958
Health Insurance,94103
Remote Work,53119
Health Insurance,68905
401(k),80739
Remote Work,76157
Paid Time Off,86945
401(k),90381
Stock Options,163240
401(k),179606
401(k),93593
401(k),78411
Paid Time Off,106534
Health Insurance,159529
Remote Work,77969
Remote Work,68386
Remote Work,115468
Paid Time Off,79877
Stock Options,160686
401(k),195275
401(k),76458
401(k),124342
401(k),181870
401(k),128354
Paid Time Off,141414
401(k),93821
Stock Options,173824
Health Insurance,119438
Remote Work,100129
401(k),164488
401(k),69337
401(k),81525
401(k),74264
Paid Time Off,72230
401(k),70657
Stock Options,190767
Health Insurance,192019
401(k),85941
401(k),116704
Health Insurance,117253
401(k),64124
Paid Time Off,185847
Stock Options,119292
Paid Time Off,75164
Stock Options,63951
Remote Work,88207
401(k),54814
Health Insurance,138563
Stock Options,93289
401(k),165174
Health Insurance,148941
401(k),158485
401(k),154495
Paid Time Off,54995
Remote Work,110701
Health Insurance,143594
Remote Work,55349
Paid Time Off,105712
401(k),163925
Paid Time Off,83614
Remote Work,142468
Health Insurance,179387
401(k),81379
401(k),62739
401(k),71454
Health Insurance,147816
401(k),191893
401(k),126082
Health Insurance,80299
401(k),198791
Health Insurance,80105
401(k),126555
401(k),178267
Health Insurance,79341
Stock Options,83865
401(k),193214
Paid Time Off,173449
401(k),77634
401(k),60021
401(k),170179
Remote Work,194434
401(k),100802
Stock Options,98640
Stock Options,170063
Stock Options,136741
401(k),131229
401(k),71693
Paid Time Off,98590
Paid Time Off,169584
Remote Work,95157
Stock Options,66057
Paid Time Off,78238
Paid Time Off,85235
Stock Options,61647
Remote Work,80034
401(k),80982
Remote Work,134222
401(k),90889
Paid Time Off,139478
Paid Time Off,172182
401(k),125413
Paid Time Off,113682
Remote Work,62572
Health Insurance,64576
Paid Time Off,50676
Stock Options,84473
Remote Work,155392
Paid Time Off,143918
Paid Time Off,112879
Paid Time Off,79434
Stock Options,161376
401(k),98027
Remote Work,64810
401(k),121386
Paid Time Off,54616
Health Insurance,127693
Stock Options,178220
401(k),68708
Stock Options,197170
Paid Time Off,124040
Health Insurance,155466
Stock Options,127185
401(k),179428
Health Insurance,158836
401(k),158057
Stock Options,177508
Paid Time Off,118680
Health Insurance,187313
401(k),127535
Paid Time Off,113519
Remote Work,164078
Paid Time Off,175616
Stock Options,130615
401(k),79328
Remote Work,136516
Paid Time Off,135078
401(k),176638
Health Insurance,94800
Paid Time Off,64899
Paid Time Off,177128
Health Insurance,127902
Health Insurance,57286
Remote Work,184254
Remote Work,73002
Paid Time Off,68523
Health Insurance,56848
Health Insurance,171825
401(k),57931
401(k),71522
Remote Work,184977
401(k),124327
401(k),64565
401(k),142849
Remote Work,78677
Stock Options,128164
401(k),170679
Stock Options,117356
Paid Time Off,144162
Health Insurance,147431
401(k),77709
401(k),119445
Health Insurance,136540
401(k),129232
401(k),55570
Paid Time Off,154423
Paid Time Off,176431
401(k),167546
Stock Options,187516
Remote Work,98861
401(k),178012
Health Insurance,173290
401(k),167448
401(k),122026
Paid Time Off,194995
Health Insurance,163390
401(k),57546
Remote Work,186296
Remote Work,157509
401(k),139037
401(k),132517
Health Insurance,170028
401(k),174831
Paid Time Off,116463
Stock Options,62024
Remote Work,116191
Stock Options,196675
401(k),161312
Remote Work,195779
401(k),184469
Remote Work,115828
Remote Work,50330
Paid Time Off,77272
Remote Work,165468
Health Insurance,94895
Health Insurance,84973
401(k),71552
401(k),112920
Remote Work,159005
Paid Time Off,83576
Paid Time Off,85175
401(k),195636
401(k),142442
401(k),189569
401(k),162839
Paid Time Off,135103
401(k),131647
401(k),159812
Stock Options,163983
Stock Options,86955
Stock Options,129175
401(k),156948
Remote Work,199851
401(k),190987
Stock Options,160108
401(k),185138
Stock Options,78422
Paid Time Off,86147
401(k),95681
Remote Work,86594
401(k),96818
Remote Work,135023
401(k),174048
Health Insurance,186859
Paid Time Off,145896
Paid Time Off,65045
Remote Work,166817
Remote Work,65506
Remote Work,144027
Paid Time Off,157410
401(k),148961
401(k),112144
401(k),71009
401(k),133381
401(k),156082
Remote Work,105616
Stock Options,105355
401(k),97345
Remote Work,178609
Paid Time Off,70051
Stock Options,166275
401(k),109224
401(k),109427
401(k),106898
Remote Work,182643
401(k),73434
Paid Time Off,53996
Stock Options,96058
401(k),159027
401(k),137330
Paid Time Off,51085
Remote Work,53587
401(k),52795
Health Insurance,64241
401(k),112813
401(k),149260
401(k),122757
Health Insurance,138746
Health Insurance,60928
Paid Time Off,140356
Health Insurance,89177
Paid Time Off,78809
401(k),187728
Remote Work,154312
401(k),110926
401(k),131351
Paid Time Off,114508
Health Insurance,54719
401(k),174570
Remote Work,94859
Health Insurance,199339
Remote Work,57866
Remote Work,149713
401(k),161099
Remote Work,57839
Paid Time Off,65416
Stock Options,57429
Paid Time Off,108865
401(k),184793
Paid Time Off,153185
401(k),72264
401(k),179031
Paid Time Off,129332
Remote Work,89216
401(k),142867
Health Insurance,52118
Paid Time Off,156906
Stock Options,130582
Health Insurance,93970
401(k),97619
401(k),93885
Remote Work,65466
401(k),169488
Remote Work,144029
Remote Work,75638
401(k),138116
401(k),120031
401(k),60315
401(k),115479
Paid Time Off,189504
Stock Options,96589
Stock Options,129507
401(k),123575
401(k),102946
Health Insurance,111290
401(k),159100
401(k),109507
Paid Time Off,93514
401(k),72663
Paid Time Off,158690
401(k),197758
401(k),89121
Paid Time Off,138551
401(k),161659
401(k),171116
Paid Time Off,161131
Remote Work,159654
Remote Work,90518
Health Insurance,84918
Paid Time Off,52034
Stock Options,177700
Stock Options,83457
401(k),195327
Health Insurance,68132
Paid Time Off,94919
Health Insurance,50904
Paid Time Off,173787
Remote Work,73775
Remote Work,113768
401(k),180543
Paid Time Off,105949
Paid Time Off,134808
Stock Options,117831
401(k),187835
Health Insurance,114667
401(k),121544
Paid Time Off,52045
Remote Work,155890
Paid Time Off,195656
401(k),93800
Stock Options,68532
Paid Time Off,65010
401(k),50980
401(k),83994
Paid Time Off,140079
401(k),73418
Remote Work,124421
Health Insurance,63368
401(k),70031
401(k),185085
Stock Options,93918
Stock Options,148131
Health Insurance,80444
401(k),175704
401(k),138462
Paid Time Off,82240
Stock Options,151300
Paid Time Off,81390
401(k),102190
401(k),87794
401(k),58592
Stock Options,126917
Health Insurance,105770
Remote Work,71238
Health Insurance,126242
Stock Options,125277
401(k),161943
